device,country,topic,category,sub_category,raw_messages,raw_users,raw_conversations,index,date
desktop,840,all,Retail & Consumer Products,Optical Goods,31426,11734,15435,15435,2025-12-05
desktop,840,Mood Board Creator,Retail & Consumer Products,Optical Goods,1320,810,927,927,2025-12-05
desktop,840,Product Image Creation,Retail & Consumer Products,Optical Goods,1253,700,837,837,2025-12-05
desktop,840,Personalized Images,Retail & Consumer Products,Optical Goods,1008,590,697,697,2025-12-05
desktop,840,Personalized Cake Images,Retail & Consumer Products,Optical Goods,882,533,624,624,2025-12-05
desktop,840,AI Mockup Generation,Retail & Consumer Products,Optical Goods,834,513,597,597,2025-12-05
desktop,840,E-commerce Merchandising Tools,Retail & Consumer Products,Optical Goods,798,475,531,531,2025-12-05
desktop,840,Image Editing AI,Retail & Consumer Products,Optical Goods,765,446,530,530,2025-12-05
desktop,840,AI Art Prompts,Retail & Consumer Products,Optical Goods,776,423,512,512,2025-12-05
desktop,840,AI Illustration Generation,Retail & Consumer Products,Optical Goods,760,423,507,507,2025-12-05
desktop,840,AI Portrait Generator,Retail & Consumer Products,Optical Goods,755,410,503,503,2025-12-05
desktop,840,AI Ad Creative Generation,Retail & Consumer Products,Optical Goods,706,439,500,500,2025-12-05
desktop,840,E-commerce Content Generation,Retail & Consumer Products,Optical Goods,701,455,499,499,2025-12-05
desktop,840,Sketch-to-Image AI,Retail & Consumer Products,Optical Goods,743,410,497,497,2025-12-05
desktop,840,Promotional Campaign Aggregator,Retail & Consumer Products,Optical Goods,758,458,495,495,2025-12-05
desktop,840,Placeholder Image Generator,Retail & Consumer Products,Optical Goods,698,415,492,492,2025-12-05
desktop,840,Anime Art Generation,Retail & Consumer Products,Optical Goods,736,398,485,485,2025-12-05
desktop,840,Mockup Generator,Retail & Consumer Products,Optical Goods,667,433,483,483,2025-12-05
desktop,840,Customizable Digital Templates,Retail & Consumer Products,Optical Goods,678,442,481,481,2025-12-05
desktop,840,Image Outpainting,Retail & Consumer Products,Optical Goods,711,397,479,479,2025-12-05
desktop,840,AI-powered Ad Creative Generation,Retail & Consumer Products,Optical Goods,687,420,477,477,2025-12-05
desktop,840,Custom Photo to Painting Services,Retail & Consumer Products,Optical Goods,659,399,469,469,2025-12-05
desktop,840,Social Media Image Generation,Retail & Consumer Products,Optical Goods,696,391,469,469,2025-12-05
desktop,840,Image Making,Retail & Consumer Products,Optical Goods,676,396,467,467,2025-12-05
desktop,840,Image Creation,Retail & Consumer Products,Optical Goods,672,385,461,461,2025-12-05
desktop,840,AI Photoshoot,Retail & Consumer Products,Optical Goods,689,387,459,459,2025-12-05
desktop,840,Interactive Brochure Creation,Retail & Consumer Products,Optical Goods,623,413,450,450,2025-12-05
desktop,840,Social Media Graphic Design Tool,Retail & Consumer Products,Optical Goods,648,396,450,450,2025-12-05
desktop,840,AI Image Customization,Retail & Consumer Products,Optical Goods,659,378,449,449,2025-12-05
desktop,840,Text-to-Image,Retail & Consumer Products,Optical Goods,628,374,448,448,2025-12-05
desktop,840,all,Technology,Consumer Electronics and Personal Computing,3701,1961,2203,2203,2025-12-06
desktop,840,Gaming PCs,Technology,Consumer Electronics and Personal Computing,180,87,96,96,2025-12-06
desktop,840,Gaming Monitors,Technology,Consumer Electronics and Personal Computing,169,86,94,94,2025-12-06
desktop,840,Gaming PC Configuration,Technology,Consumer Electronics and Personal Computing,161,80,86,86,2025-12-06
