device,country,topic,category,sub_category,raw_messages,raw_users,raw_conversations,index,date
desktop,840,all,Travel & Hospitality,Hospitality Management & Support Services,31295,12303,16552,16552,2025-12-02
desktop,840,all,Travel & Hospitality,Hospitality Management & Support Services,30881,12083,16127,16127,2025-12-01
desktop,840,all,Travel & Hospitality,Hospitality Management & Support Services,29635,11628,15678,15678,2025-12-03
desktop,840,all,Travel & Hospitality,Hospitality Management & Support Services,29089,11355,15246,15246,2025-12-04
desktop,840,all,Travel & Hospitality,Hospitality Management & Support Services,24120,9556,12551,12551,2025-12-05
desktop,840,all,Travel & Hospitality,Hospitality Management & Support Services,14128,6037,7333,7333,2025-12-07
desktop,840,all,Travel & Hospitality,Hospitality Management & Support Services,10532,4524,5512,5512,2025-12-06
desktop,840,Klaviyo Consulting,Travel & Hospitality,Hospitality Management & Support Services,1497,884,1057,1057,2025-12-03
desktop,840,Klaviyo Consulting,Travel & Hospitality,Hospitality Management & Support Services,1478,869,1034,1034,2025-12-04
desktop,840,Klaviyo Consulting,Travel & Hospitality,Hospitality Management & Support Services,1459,863,1016,1016,2025-12-01
desktop,840,Klaviyo Consulting,Travel & Hospitality,Hospitality Management & Support Services,1427,847,1012,1012,2025-12-02
desktop,840,Business Formalities Assistance,Travel & Hospitality,Hospitality Management & Support Services,1291,928,1009,1009,2025-12-02
desktop,840,Business Formalities Assistance,Travel & Hospitality,Hospitality Management & Support Services,1247,934,1004,1004,2025-12-01
desktop,840,Business Formalities Assistance,Travel & Hospitality,Hospitality Management & Support Services,1195,890,966,966,2025-12-03
desktop,840,Business Formalities Assistance,Travel & Hospitality,Hospitality Management & Support Services,1159,871,933,933,2025-12-04
desktop,840,User Onboarding Consulting,Travel & Hospitality,Hospitality Management & Support Services,965,689,777,777,2025-12-03
desktop,840,Multi-channel Outreach Automation,Travel & Hospitality,Hospitality Management & Support Services,1046,668,767,767,2025-12-04
desktop,840,Multi-channel Outreach Automation,Travel & Hospitality,Hospitality Management & Support Services,1049,656,760,760,2025-12-02
desktop,840,User Onboarding Consulting,Travel & Hospitality,Hospitality Management & Support Services,972,681,757,757,2025-12-04
desktop,840,Klaviyo Consulting,Travel & Hospitality,Hospitality Management & Support Services,1066,641,756,756,2025-12-05
desktop,840,User Onboarding Consulting,Travel & Hospitality,Hospitality Management & Support Services,959,676,750,750,2025-12-02
desktop,840,Multi-channel Outreach Automation,Travel & Hospitality,Hospitality Management & Support Services,1010,656,749,749,2025-12-03
desktop,840,User Onboarding Consulting,Travel & Hospitality,Hospitality Management & Support Services,913,649,726,726,2025-12-01
desktop,840,Business Formalities Assistance,Travel & Hospitality,Hospitality Management & Support Services,888,678,725,725,2025-12-05
desktop,840,Account-Based Marketing (ABM) Consulting,Travel & Hospitality,Hospitality Management & Support Services,1052,609,711,711,2025-12-03
desktop,840,Multi-channel Outreach Automation,Travel & Hospitality,Hospitality Management & Support Services,1014,617,707,707,2025-12-01
desktop,840,Account-Based Marketing (ABM) Consulting,Travel & Hospitality,Hospitality Management & Support Services,974,586,681,681,2025-12-02
desktop,840,Lead Nurturing Consulting,Travel & Hospitality,Hospitality Management & Support Services,942,605,680,680,2025-12-02
desktop,840,Account-Based Marketing (ABM) Consulting,Travel & Hospitality,Hospitality Management & Support Services,1022,573,674,674,2025-12-04
desktop,840,Lead Nurturing Consulting,Travel & Hospitality,Hospitality Management & Support Services,980,557,655,655,2025-12-01
desktop,840,Lead Nurturing Consulting,Travel & Hospitality,Hospitality Management & Support Services,940,560,640,640,2025-12-04
desktop,840,Custom Planners & Agendas,Travel & Hospitality,Hospitality Management & Support Services,858,605,639,639,2025-12-02
desktop,840,Account-Based Marketing (ABM) Consulting,Travel & Hospitality,Hospitality Management & Support Services,1002,544,635,635,2025-12-01
desktop,840,Lead Nurturing Consulting,Travel & Hospitality,Hospitality Management & Support Services,908,552,631,631,2025-12-03
desktop,840,Custom Planners & Agendas,Travel & Hospitality,Hospitality Management & Support Services,765,570,615,615,2025-12-03
desktop,840,Personalized Outreach Automation,Travel & Hospitality,Hospitality Management & Support Services,789,547,612,612,2025-12-02
desktop,840,Custom Planners & Agendas,Travel & Hospitality,Hospitality Management & Support Services,808,569,612,612,2025-12-01
desktop,840,Product-Led Growth Consulting,Travel & Hospitality,Hospitality Management & Support Services,807,550,611,611,2025-12-02
desktop,840,Product-Led Growth Consulting,Travel & Hospitality,Hospitality Management & Support Services,889,538,602,602,2025-12-03
desktop,840,Account Based Marketing Consulting,Travel & Hospitality,Hospitality Management & Support Services,867,522,598,598,2025-12-03
desktop,840,Product-Led Growth Consulting,Travel & Hospitality,Hospitality Management & Support Services,854,530,595,595,2025-12-04
desktop,840,Personalized Outreach Automation,Travel & Hospitality,Hospitality Management & Support Services,767,530,591,591,2025-12-04
desktop,840,Account Based Marketing Consulting,Travel & Hospitality,Hospitality Management & Support Services,814,530,587,587,2025-12-02
desktop,840,Go-to-Market (GTM) Intelligence Platform,Travel & Hospitality,Hospitality Management & Support Services,782,510,575,575,2025-12-03
desktop,840,Account Based Marketing Consulting,Travel & Hospitality,Hospitality Management & Support Services,833,510,575,575,2025-12-04
desktop,840,Personalized Outreach Automation,Travel & Hospitality,Hospitality Management & Support Services,781,509,573,573,2025-12-01
desktop,840,Business Scaling Coaching,Travel & Hospitality,Hospitality Management & Support Services,789,523,571,571,2025-12-02
desktop,840,Personalized Outreach Automation,Travel & Hospitality,Hospitality Management & Support Services,753,509,570,570,2025-12-03
desktop,840,User Onboarding Consulting,Travel & Hospitality,Hospitality Management & Support Services,722,525,568,568,2025-12-05
desktop,840,Product-Led Growth Consulting,Travel & Hospitality,Hospitality Management & Support Services,837,503,567,567,2025-12-01
desktop,840,Go-to-Market (GTM) Intelligence Platform,Travel & Hospitality,Hospitality Management & Support Services,777,515,567,567,2025-12-04
desktop,840,Go-to-Market (GTM) Intelligence Platform,Travel & Hospitality,Hospitality Management & Support Services,731,496,564,564,2025-12-02
desktop,840,Account Based Marketing Consulting,Travel & Hospitality,Hospitality Management & Support Services,856,481,564,564,2025-12-01
desktop,840,Pipedrive Consulting,Travel & Hospitality,Hospitality Management & Support Services,730,464,555,555,2025-12-04
desktop,840,Business Scaling Coaching,Travel & Hospitality,Hospitality Management & Support Services,838,488,553,553,2025-12-01
desktop,840,Business Scaling Coaching,Travel & Hospitality,Hospitality Management & Support Services,809,500,546,546,2025-12-03
desktop,840,Pipedrive Consulting,Travel & Hospitality,Hospitality Management & Support Services,702,467,546,546,2025-12-03
desktop,840,B2B Appointment Setting Services,Travel & Hospitality,Hospitality Management & Support Services,721,495,541,541,2025-12-02
desktop,840,Meeting Scheduling,Travel & Hospitality,Hospitality Management & Support Services,749,501,540,540,2025-12-02
desktop,840,Meeting Scheduling,Travel & Hospitality,Hospitality Management & Support Services,682,497,537,537,2025-12-01
desktop,840,Workplace Strategy Coaching,Travel & Hospitality,Hospitality Management & Support Services,874,497,535,535,2025-12-01
desktop,840,Pipedrive Consulting,Travel & Hospitality,Hospitality Management & Support Services,717,462,534,534,2025-12-02
desktop,840,Customer Communication Automation,Travel & Hospitality,Hospitality Management & Support Services,689,472,532,532,2025-12-04
desktop,840,Custom Planners & Agendas,Travel & Hospitality,Hospitality Management & Support Services,683,505,530,530,2025-12-04
desktop,840,Business Scaling Coaching,Travel & Hospitality,Hospitality Management & Support Services,759,475,525,525,2025-12-04
desktop,840,Meeting Scheduling,Travel & Hospitality,Hospitality Management & Support Services,656,485,524,524,2025-12-03
desktop,840,Multi-channel Outreach Automation,Travel & Hospitality,Hospitality Management & Support Services,765,463,524,524,2025-12-05
desktop,840,ChatGPT Consulting,Travel & Hospitality,Hospitality Management & Support Services,630,485,523,523,2025-12-02
desktop,840,ChatGPT Consulting,Travel & Hospitality,Hospitality Management & Support Services,639,485,522,522,2025-12-04
desktop,840,Sales Development Representative (SDR) Services,Travel & Hospitality,Hospitality Management & Support Services,727,454,520,520,2025-12-03
desktop,840,B2B Appointment Setting Services,Travel & Hospitality,Hospitality Management & Support Services,677,472,517,517,2025-12-04
desktop,840,Customer Communication Automation,Travel & Hospitality,Hospitality Management & Support Services,687,462,513,513,2025-12-01
desktop,840,Sales Development Representative (SDR) Services,Travel & Hospitality,Hospitality Management & Support Services,671,442,508,508,2025-12-04
desktop,840,Omni-Channel Lead Generation,Travel & Hospitality,Hospitality Management & Support Services,660,444,506,506,2025-12-02
desktop,840,Customer Communication Automation,Travel & Hospitality,Hospitality Management & Support Services,669,452,506,506,2025-12-02
desktop,840,Media Planning & Booking,Travel & Hospitality,Hospitality Management & Support Services,645,448,505,505,2025-12-03
desktop,840,B2B Appointment Setting Services,Travel & Hospitality,Hospitality Management & Support Services,658,450,504,504,2025-12-03
desktop,840,ChatGPT Consulting,Travel & Hospitality,Hospitality Management & Support Services,627,464,501,501,2025-12-03
desktop,840,B2B Appointment Setting Services,Travel & Hospitality,Hospitality Management & Support Services,649,464,501,501,2025-12-01
desktop,840,Account-Based Marketing (ABM) Consulting,Travel & Hospitality,Hospitality Management & Support Services,801,433,500,500,2025-12-05
desktop,840,Sales Development Representative (SDR) Services,Travel & Hospitality,Hospitality Management & Support Services,716,450,500,500,2025-12-01
desktop,840,Client Communication Management,Travel & Hospitality,Hospitality Management & Support Services,617,472,496,496,2025-12-04
desktop,840,Roadmap Planning Consulting,Travel & Hospitality,Hospitality Management & Support Services,684,454,495,495,2025-12-02
desktop,840,Sales Development Representative (SDR) Services,Travel & Hospitality,Hospitality Management & Support Services,678,446,494,494,2025-12-02
