device,country,topic,level1,level2,raw_messages,raw_users,raw_conversations,date
desktop,840,Agile Consulting,Technology,Event Management Technology,42,30,30,2025-12-01
desktop,840,Business Analysis Coaching,Technology,Mobility and Logistics,257,194,212,2025-12-01
desktop,840,Equity Investment Platform,Technology,AgriTech and FoodTech,162,115,126,2025-12-01
desktop,840,Real-time Agent Assist Software,Financial Services,Lending and Credit Operations,53,42,44,2025-12-01
desktop,840,E-commerce Brand Management,Financial Services,Retail and Commercial Banking,156,113,124,2025-12-01
desktop,840,Lead Nurturing Automation,Financial Services,Lending and Credit Operations,2913,1125,1482,2025-12-01
desktop,840,Delivery Boxes,Technology,Mobility and Logistics,99,77,78,2025-12-01
desktop,840,SNS Advertising,Technology,Retail and E-commerce Tech,10,8,8,2025-12-01
desktop,840,Containerization Consulting,Technology,Healthcare Technology,17,11,12,2025-12-01
desktop,840,Scientific Exchange Programs,Technology,Scientific Research Tech,15,10,10,2025-12-01
desktop,840,LinkedIn Training & Consulting,Technology,Digital Media and Content,179,137,142,2025-12-01
desktop,840,Tender Documentation,Financial Services,Regulatory Compliance Bodies,17,15,15,2025-12-01
desktop,840,Internet Routers,Technology,Consumer Electronics and Personal Computing,25,19,20,2025-12-01
desktop,840,Side Hustle Blog,Technology,Event Management Technology,27,18,20,2025-12-01
desktop,840,Student Loan Facilitation,Technology,Educational Technology,100,81,81,2025-12-01
desktop,840,Rattan Swings,Technology,Financial Technology,1,1,1,2025-12-01
desktop,840,Robotics Automation Systems,Aerospace & Defense,Unmanned Systems,38,25,30,2025-12-01
desktop,840,Lead Generation Video Production,Financial Services,Lending and Credit Operations,142,102,106,2025-12-01
desktop,840,Digital Signage Content Management System (CMS),Technology,Gaming and Immersive Tech,27,26,26,2025-12-01
desktop,840,Pet Loss Support,Financial Services,Debt Management Services,9,8,8,2025-12-01
desktop,840,Sample Boxes,Technology,Event Management Technology,11,11,11,2025-12-01
desktop,840,AI for Sales & Marketing,Financial Services,Retirement Planning,53,49,49,2025-12-01
desktop,840,Intraday Trading Signals,Financial Services,Retail and Commercial Banking,102,69,73,2025-12-01
desktop,840,Reachstackers,Financial Services,Lending and Credit Operations,37,25,25,2025-12-01
desktop,840,Promotional Strategy,Technology,Mobility and Logistics,22,19,19,2025-12-01
desktop,840,Social Intelligence Consulting,Technology,Retail and E-commerce Tech,196,136,141,2025-12-01
desktop,840,Blood Lipid Regulation Supplements,Technology,Marketing and AdTech,7,6,6,2025-12-01
desktop,840,User Onboarding Solutions,Technology,Cloud Computing,46,39,40,2025-12-01
desktop,840,AI Art News,Technology,Cloud Computing,7,6,6,2025-12-01
desktop,840,Digital Form Builder,Technology,Data Analytics,74,50,50,2025-12-01
desktop,840,Keynote Templates,Financial Services,General Financial Services & Support,35,33,33,2025-12-01
desktop,840,Credit Card Benefits Program,Financial Services,Lending and Credit Operations,313,165,180,2025-12-01
desktop,840,Marketing & SEO Tools,Aerospace & Defense,Space Technology,52,48,48,2025-12-01
desktop,840,Personalized Outreach Software,Financial Services,Lending and Credit Operations,2354,1091,1355,2025-12-01
desktop,840,Relationship Building Tools,Financial Services,Regulatory Compliance Bodies,10,8,8,2025-12-01
desktop,840,Ad Operations (AdOps),Technology,Internet and Web Services,547,338,376,2025-12-01
desktop,840,Accounts Receivable Financing,Financial Services,Accounting and Auditing,80,48,51,2025-12-01
desktop,840,Disease Outbreak Information,Technology,Event Management Technology,4,3,3,2025-12-01
desktop,840,Financial Services for Professionals,Technology,General Technology and Services,18,17,17,2025-12-01
desktop,840,Part-time Staffing,Financial Services,Lending and Credit Operations,26,20,20,2025-12-01
desktop,840,Academic Portfolio Development,Technology,Design and 3D Technology,289,176,197,2025-12-01
desktop,840,eCommerce Plugins,Technology,Marketing and AdTech,584,343,389,2025-12-01
desktop,840,AI Marketing Agents,Technology,Marketing and AdTech,374,226,247,2025-12-01
desktop,840,Real Estate Sales Automation,Financial Services,Lending and Credit Operations,55,35,38,2025-12-01
desktop,840,Data Product Development Consulting,Technology,Travel and Hospitality Technology,267,218,228,2025-12-01
desktop,840,Private Gated Communities,Financial Services,Retirement Planning,1,1,1,2025-12-01
desktop,840,Themed Lighting,Technology,Event Management Technology,72,50,53,2025-12-01
desktop,840,API Q1/Q2 Certification Consulting,Financial Services,Regulatory Compliance Bodies,15,12,13,2025-12-01
desktop,840,Data Collection & Integration,Financial Services,Consumer Financial Literacy,8,6,7,2025-12-01
desktop,840,Data Communication Protocols,Technology,Search and Information Discovery,1,1,1,2025-12-01
desktop,840,Performance Marketing for Recruitment,Technology,Marketing and AdTech,99,73,79,2025-12-01
desktop,840,Business Network Solutions,Aerospace & Defense,General Aerospace & Infrastructure,14,11,11,2025-12-01
desktop,840,Residential Alterations & Additions,Financial Services,Real Estate Financing,3,3,3,2025-12-01
desktop,840,Psychology Study Materials,Technology,Scientific Research Tech,30,25,26,2025-12-01
desktop,840,Shipping Integration Software,Technology,Event Management Technology,242,127,153,2025-12-01
desktop,840,Retail Directory Services,Aerospace & Defense,General Aerospace & Infrastructure,11,9,10,2025-12-01
desktop,840,Content Optimization Consulting,Technology,Marketing and AdTech,308,210,228,2025-12-01
desktop,840,Detachable Sleeves,Financial Services,Real Estate Financing,2,2,2,2025-12-01
desktop,840,Spices & Herbs Manufacturing,Aerospace & Defense,Aerospace Parts & Systems,1,1,1,2025-12-01
desktop,840,Browser Tools,Technology,IoT and Smart Infrastructure,30,30,30,2025-12-01
desktop,840,Heritage Rehabilitation,Technology,Design and 3D Technology,1,1,1,2025-12-01
desktop,840,Social Media Payments,Technology,Financial Technology,60,49,51,2025-12-01
desktop,840,Reaction Arms,Financial Services,Lending and Credit Operations,3,3,3,2025-12-01
desktop,840,Chromeboxes,Technology,Geospatial Technology,6,6,6,2025-12-01
desktop,840,Hyperconverged Infrastructure,Technology,IoT and Smart Infrastructure,29,19,21,2025-12-01
desktop,840,Interactive Q&A,Financial Services,Regulatory Compliance Bodies,40,38,38,2025-12-01
desktop,840,AI-Powered Job Matching,Technology,Travel and Hospitality Technology,82,61,63,2025-12-01
desktop,840,Order Flow Trading,Technology,Mobility and Logistics,112,67,72,2025-12-01
desktop,840,Mindfulness Promotion,Technology,Financial Technology,2,2,2,2025-12-01
desktop,840,Ad Campaign Automation,Technology,Event Management Technology,530,318,348,2025-12-01
desktop,840,SEM Campaign Management,Financial Services,Lending and Credit Operations,232,155,173,2025-12-01
desktop,840,Value-Based Care Consulting,Technology,Cloud Computing,19,13,16,2025-12-01
desktop,840,Digital Project Implementation,Technology,Educational Technology,17,15,15,2025-12-01
desktop,840,Immigration Coaching,Financial Services,Investment and Wealth Advisory,8,5,5,2025-12-01
desktop,840,AI Bot Development,Technology,Travel and Hospitality Technology,6,6,6,2025-12-01
desktop,840,Cognitive Ability Test Preparation,Financial Services,Consumer Financial Literacy,73,52,52,2025-12-01
desktop,840,Litigation Technology Consulting,Technology,Data Analytics,10,5,7,2025-12-01
desktop,840,Google Analytics Audit,Technology,Data Analytics,296,170,182,2025-12-01
desktop,840,Online Coupon & Deal Aggregation,Technology,Internet and Web Services,155,135,138,2025-12-01
desktop,840,Link Aggregator,Financial Services,Insurance Solutions,17,7,7,2025-12-01
desktop,840,Partnership Coaching,Technology,PropTech and Construction,24,17,19,2025-12-01
desktop,840,Statement of Work (SOW) Management,Financial Services,Regulatory Compliance Bodies,39,34,34,2025-12-01
desktop,840,Yield Curve Analysis,Financial Services,Lending and Credit Operations,40,27,30,2025-12-01
desktop,840,Resume/CV Writing Services,Aerospace & Defense,Space Technology,52,41,42,2025-12-01
desktop,840,Engineering Reports & Certifications,Aerospace & Defense,Aerospace Parts & Systems,20,16,17,2025-12-01
desktop,840,Prepaid Card Comparison,Financial Services,Retirement Planning,51,37,38,2025-12-01
desktop,840,Branding & Packaging Consulting,Technology,Hardware and Electronics,6,5,5,2025-12-01
desktop,840,Warehouse Management Systems (WMS),Financial Services,Payment Processing Systems,56,32,33,2025-12-01
desktop,840,School Project Support,Technology,Educational Technology,37,26,28,2025-12-01
desktop,840,Decision-Making Tools,Technology,IoT and Smart Infrastructure,10,10,10,2025-12-01
desktop,840,B2B Content Marketing Consulting,Financial Services,General Financial Services & Support,214,149,155,2025-12-01
desktop,840,SaaS Tool Reviews,Technology,IoT and Smart Infrastructure,49,42,43,2025-12-01
desktop,840,General Merchandise Marketplace,Aerospace & Defense,General Aerospace & Infrastructure,1,1,1,2025-12-01
desktop,840,Science & Nature Articles,Technology,Aerospace and Defense,1,1,1,2025-12-01
desktop,840,Campaign Performance Analysis,Technology,Data Analytics,487,258,301,2025-12-01
desktop,840,Hosting & Deployment Services,Technology,Event Management Technology,90,56,59,2025-12-01
desktop,840,ROI Measurement Consulting,Financial Services,Retail and Commercial Banking,61,46,48,2025-12-01
desktop,840,CBD Salves,Technology,Social Platforms,4,2,2,2025-12-01
desktop,840,Data-Driven Strategy,Financial Services,General Financial Services & Support,24,18,18,2025-12-01
desktop,840,Learning Progress Tracking,Technology,Cybersecurity and Identity,13,10,10,2025-12-01
desktop,840,High-Speed Machining Centers,Technology,Industrial Manufacturing and Robotics,43,16,18,2025-12-01
desktop,840,Insider Risk Management Software,Technology,Search and Information Discovery,46,25,25,2025-12-01
desktop,840,Invoice Matching Software,Financial Services,Debt Management Services,47,38,40,2025-12-01
desktop,840,SATA SSDs,Technology,Consumer Electronics and Personal Computing,85,54,54,2025-12-01
desktop,840,3D Asset Packs,Aerospace & Defense,Aviation Maintenance & Services,2,2,2,2025-12-01
desktop,840,Swing Trading Strategies,Technology,Blockchain and Cryptocurrency,123,76,82,2025-12-01
desktop,840,Zelle,Technology,Blockchain and Cryptocurrency,73,55,56,2025-12-01
desktop,840,Sales & Account Management Training,Financial Services,Payment Processing Systems,48,39,41,2025-12-01
desktop,840,Estate Planning Advisory,Financial Services,Investment and Wealth Advisory,53,37,39,2025-12-01
desktop,840,Data-Driven Decision Making Tools,Financial Services,Financial Technology Innovation,119,76,82,2025-12-01
desktop,840,Third-Party Risk Management Software,Financial Services,Financial Data Analytics,61,26,35,2025-12-01
desktop,840,Ski Trip Planning & Booking,Financial Services,Retirement Planning,15,11,11,2025-12-01
desktop,840,E-commerce Data Optimization,Financial Services,General Financial Services & Support,26,24,25,2025-12-01
desktop,840,Business Travel Management Association,Technology,Travel and Hospitality Technology,32,21,21,2025-12-01
desktop,840,Day-of Event Coordination,Technology,Social Platforms,35,25,25,2025-12-01
desktop,840,Custom Design & Prototyping,Technology,Energy and Environmental Tech,27,22,22,2025-12-01
desktop,840,Live Betting Analysis,Technology,Data Analytics,46,21,32,2025-12-01
